Our Strategy,Our Ann.,Our Sharpe,ETF,ETF Ann.,ETF Sharpe,Ann. Gap,Sharpe Gap
shareholder_yield,6.78%,0.15,SYLD,6.39%,0.12,+0.39%,+0.03
quality_value,6.62%,0.14,SPHQ,11.63%,0.46,-5.01%,-0.31
quality_value,6.62%,0.14,QUAL,10.12%,0.35,-3.51%,-0.21
three_factor,6.93%,0.16,VLUE,12.94%,0.49,-6.00%,-0.33
three_factor,6.93%,0.16,IUSV,9.43%,0.37,-2.50%,-0.21
six_factor,13.85%,0.54,MTUM,11.82%,0.36,+2.04%,+0.18
low_volatility,6.13%,0.18,USMV,5.07%,0.09,+1.06%,+0.09
low_volatility,6.13%,0.18,SPLV,4.09%,0.01,+2.04%,+0.17
magic_formula,3.10%,-0.05,SPY,11.56%,0.44,-8.46%,-0.49
piotroski,5.58%,0.09,SPHQ,11.63%,0.46,-6.05%,-0.36
